file	call	POMC_score	Rhod1_score	action
28293-CRISTIAN-Ealt_9-Rhod-Rhod1C_2024-12-18-11-02-58_H06.ab1	Rhod1	31	36	none
28294-CRISTIAN-Ealt_10-Rhod-Rhod1A_2024-12-18-11-02-58_A07.ab1	Rhod1	37	39	none
28295-CRISTIAN-Ealt_10-Rhod-Rhod1C_2024-12-18-11-02-58_B07.ab1	Rhod1	34	42	none
28296-CRISTIAN-Ealt_11-Rhod-Rhod1A_2024-12-18-11-02-58_C07.ab1	Rhod1	37	40	none
28297-CRISTIAN-Ealt_11-Rhod-Rhod1C_2024-12-18-11-02-58_D07.ab1	undetermined	36	36	none
28298-CRISTIAN-Ealt_12-Rhod-Rhod1A_2024-12-18-11-02-58_E07.ab1	Rhod1	35	40	none
28299-CRISTIAN-Ealt_12-Rhod-Rhod1C_2024-12-18-11-02-58_F07.ab1	POMC	36	37	none
28300-CRISTIAN-Ealt_13-Rhod-Rhod1A_2024-12-18-11-02-58_G07.ab1	Rhod1	35	39	none
28301-CRISTIAN-Ealt_13-Rhod-Rhod1C_2024-12-18-11-02-58_H07.ab1	Rhod1	33	41	none
28302-CRISTIAN-Ealt_14-Rhod-Rhod1A_2024-12-18-11-02-58_A08.ab1	Rhod1	34	36	none
28303-CRISTIAN-Ealt_14-Rhod-Rhod1C_2024-12-18-11-02-58_B08.ab1	Rhod1	34	38	none
28304-CRISTIAN-Ealt_15-Rhod-Rhod1A_2024-12-18-11-02-58_C08.ab1	POMC	38	40	none
28305-CRISTIAN-Ealt_15-Rhod-Rhod1C_2024-12-18-11-02-58_D08.ab1	Rhod1	34	39	none
